Executable,DllName
agentactivationruntimestarter.exe,msvcp110_win.dll
AgentService.exe,FLTLIB.DLL
AgentService.exe,VERSION.dll
AgentService.exe,ACTIVEDS.dll
aitstatic.exe,mscoree.dll
alg.exe,CRYPTBASE.dll
alg.exe,MSWSOCK.dll
appidpolicyconverter.exe,msvcp110_win.dll
appidpolicyconverter.exe,USERENV.dll
appidpolicyconverter.exe,srpapi.dll
ApplicationFrameHost.exe,dxgi.dll
ApplySettingsTemplateCatalog.exe,ACTIVEDS.dll
ApplyTrustOffline.exe,StateRepository.Core.dll
AppVClient.exe,APPVPOLICY.dll
AppVClient.exe,USERENV.dll
AppVClient.exe,WTSAPI32.dll
AppVClient.exe,NETAPI32.dll
AppVClient.exe,Secur32.dll
AppVClient.exe,WININET.dll
AppVShNotify.exe,USERENV.dll
at.exe,schedcli.dll
at.exe,netutils.dll
AtBroker.exe,UxTheme.dll
audiodg.exe,MMDevAPI.DLL
auditpol.exe,auditpolcore.dll
bcdedit.exe,CRYPTSP.dll
BdeHdCfg.exe,WINBRAND.dll
BdeUISrv.exe,USERENV.dll
BdeUISrv.exe,WTSAPI32.dll
bdeunlock.exe,DUser.dll
bdeunlock.exe,DUI70.dll
BioIso.exe,IumSdk.dll
BitLockerDeviceEncryption.exe,FVESKYBACKUP.dll
BitLockerDeviceEncryption.exe,dsreg.dll
BitLockerWizard.exe,FVEWIZ.dll
BitLockerWizardElev.exe,FVEWIZ.dll
bitsadmin.exe,SspiCli.dll
bootcfg.exe,MPR.dll
bootcfg.exe,NETAPI32.dll
bootcfg.exe,SspiCli.dll
bootim.exe,BOOTUX.dll
browserexport.exe,WININET.dll
browserexport.exe,winsqlite3.dll
browserexport.exe,iertutil.dll
browserexport.exe,msIso.dll
bthudtask.exe,DEVOBJ.dll
ByteCodeGenerator.exe,urlmon.dll
cacls.exe,NTMARTA.dll
CameraSettingsUIHost.exe,DUI70.dll
CertEnrollCtrl.exe,certenroll.dll
certreq.exe,certcli.dll
certreq.exe,ncrypt.dll
certreq.exe,profapi.dll
certreq.exe,Secur32.dll
certreq.exe,WININET.dll
certutil.exe,certcli.dll
certutil.exe,Cabinet.dll
certutil.exe,CRYPTUI.dll
certutil.exe,ncrypt.dll
certutil.exe,NETAPI32.dll
certutil.exe,NTDSAPI.dll
certutil.exe,VERSION.dll
certutil.exe,Secur32.dll
change.exe,REGAPI.dll
charmap.exe,GetUName.dll
CheckNetIsolation.exe,fwpuclnt.dll
CheckNetIsolation.exe,FirewallAPI.dll
chglogon.exe,REGAPI.dll
choice.exe,VERSION.dll
CIDiag.exe,wevtapi.dll
CIDiag.exe,bcd.dll
cipher.exe,NTDSAPI.dll
cipher.exe,EFSUTIL.dll
cipher.exe,FeClient.dll
cipher.exe,DSROLE.dll
cleanmgr.exe,VSSAPI.DLL
clip.exe,VERSION.dll
ClipUp.exe,ncrypt.dll
ClipUp.exe,CRYPTXML.dll
CloudNotifications.exe,UxTheme.dll
cmdl32.exe,cmpbk32.dll
cmdl32.exe,Cabinet.dll
cmdl32.exe,RASAPI32.dll
cmdl32.exe,WINHTTP.dll
cmstp.exe,cmutil.dll
cmstp.exe,VERSION.dll
cofire.exe,wdi.dll
cofire.exe,VERSION.dll
colorcpl.exe,colorui.dll
convert.exe,IfsUtil.dll
convert.exe,SCECLI.dll
convert.exe,OSUNINST.dll
CredentialEnrollmentManager.exe,SspiCli.dll
credwiz.exe,samcli.dll
credwiz.exe,netutils.dll
credwiz.exe,MsCtfMonitor.DLL
cscript.exe,VERSION.dll
csvde.exe,DSROLE.dll
csvde.exe,logoncli.dll
csvde.exe,netutils.dll
ctfmon.exe,MsCtfMonitor.DLL
cttune.exe,DWrite.dll
cttune.exe,OLEACC.dll
cttune.exe,UxTheme.dll
CustomShellHost.exe,WTSAPI32.dll
CustomShellHost.exe,SspiCli.dll
CustomShellHost.exe,USERENV.dll
CustomShellHost.exe,PROPSYS.dll
DataExchangeHost.exe,DWrite.dll
DataExchangeHost.exe,TWINAPI.dll
DataExchangeHost.exe,dcomp.dll
DataExchangeHost.exe,d2d1.dll
DataExchangeHost.exe,d3d11.dll
DataUsageLiveTileTask.exe,dusmapi.dll
DataUsageLiveTileTask.exe,IPHLPAPI.DLL
dccw.exe,dxva2.dll
dccw.exe,mscms.dll
dcdiag.exe,DSROLE.dll
dcdiag.exe,netutils.dll
dcdiag.exe,DNSAPI.dll
dcdiag.exe,IPHLPAPI.DLL
dcdiag.exe,samcli.dll
dcdiag.exe,MPR.dll
dcdiag.exe,DSPARSE.dll
dcdiag.exe,srvcli.dll
dcdiag.exe,NETAPI32.dll
dcdiag.exe,NTDSAPI.dll
dcdiag.exe,wevtapi.dll
ddodiag.exe,XmlLite.dll
Defrag.exe,SXSHARED.dll
deploymentcsphelper.exe,WDSCORE.dll
deploymentcsphelper.exe,DismApi.DLL
DeviceCensus.exe,dcntel.dll
DeviceCredentialDeployment.exe,DeviceCredential.dll
DeviceEnroller.exe,dmEnrollEngine.DLL
DeviceEnroller.exe,omadmapi.dll
DeviceEnroller.exe,UMPDC.dll
DeviceEnroller.exe,XmlLite.dll
DeviceEnroller.exe,dmenterprisediagnostics.dll
DeviceEnroller.exe,samcli.dll
DeviceEnroller.exe,netutils.dll
DeviceEnroller.exe,SspiCli.dll
DevicePairingWizard.exe,MFC42u.dll
dfrgui.exe,SXSHARED.dll
dfscmd.exe,NETAPI32.dll
DfsDiag.exe,NETAPI32.dll
DfsDiag.exe,NTDSAPI.dll
DfsDiag.exe,RESUTILS.dll
dfsrdiag.exe,DSPARSE.dll
dfsrdiag.exe,NTDSAPI.dll
dfsrdiag.exe,NETAPI32.dll
dfsrdiag.exe,Secur32.dll
dfsrdiag.exe,framedynos.dll
dfsrdiag.exe,MPR.dll
dfsrdiag.exe,FLTLIB.DLL
dfsrdiag.exe,ESENT.dll
dfsrdiag.exe,CLUSAPI.dll
dfsutil.exe,NETAPI32.dll
dialer.exe,TAPI32.dll
directxdatabaseupdater.exe,DismApi.DLL
dirquota.exe,MFC42u.dll
dirquota.exe,SrmTrace.DLL
diskpart.exe,VERSION.dll
diskraid.exe,VERSION.dll
DiskSnapshot.exe,CRYPTSP.dll
Dism.exe,VERSION.dll
dispdiag.exe,DEVOBJ.dll
dispdiag.exe,WMICLNT.dll
DisplaySwitch.exe,policymanager.dll
DisplaySwitch.exe,UxTheme.dll
DisplaySwitch.exe,dwmapi.dll
